"Subject","Course Number","Department(s)","Course Title","Credits - Units - Minimum Units","Credits - Units - Maximum Units","Terms Offered","Course Description","Cross-Listed Course(s)","Repeat Rules","Repeat Rule: Special Circumstances","Offering Information","Additional Offering Information"
"ELENG","247A","Electrical Engineering and Computer Sciences","Introduction to Microelectromechanical Systems (MEMS)","3","3","-","This course will teach fundamentals of micromachining and microfabrication techniques, including planar thin-film process technologies, photolithographic techniques, deposition and etching techniques, and the other technologies that are central to MEMS fabrication. It will pay special attention to teaching of fundamentals necessary for the design and analysis of devices and systems in mechanical, electrical, fluidic, and thermal energy/signal domains, and will teach basic techniques for multi-domain analysis. Fundamentals of sensing and transduction mechanisms including capacitive and piezoresistive techniques, and design and analysis of micmicromachined miniature sensors and actuators using these techniques will be covered.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","248C","Electrical Engineering and Computer Sciences","Numerical Modeling and Analysis: Nonlinear Systems and Noise","4","4","-","Numerical modelling and analysis techniques are widely used in scientific and engineering practice; they are also an excellent vehicle for understanding and concretizing theory.  This course covers topics important for a proper understanding of nonlinearity and noise: periodic steady state and envelope (""RF"") analyses; oscillatory systems; nonstationary and phase noise; and homotopy/continuation techniques for solving ""difficult"" equation systems. An underlying theme of the course is relevance to different physical domains, from electronics (e.g., analog/RF/mixed-signal circuits, high-speed digital circuits, interconnect, etc.) to optics, nanotechnology, chemistry, biology and mechanics. Hands-on coding using the MATLAB-based Berkeley Model","-","Course is not repeatable for credit.","-","-","-"
"ELENG","290","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering","1","4","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester. ","-","Course may be repeated for credit when topic changes.","-","-","-"
"ELENG","290A","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Computer-Aided Design","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290B","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Solid State Devices","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290C","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Circuit Design","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290D","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Semiconductor Technology","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290F","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Photonics","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290G","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Mems, Microsensors, and Microactuators","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290N","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in System Theory","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290O","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Control","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290P","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Bioelectronics","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290Q","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Communication Networks","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290S","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Communications and Information Theory","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290T","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Advanced Topics in Signal Processing","1","3","-","The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","290Y","Electrical Engineering and Computer Sciences","Advanced Topics in Electrical Engineering: Organic Materials in Electronics","3","3","-","Organic materials are seeing increasing application in electronics applications. This course will provide an overview of the properties of the major classes of organic materials with relevance to electronics. Students will study the technology, physics, and chemistry of their use in the three most rapidly growing major applications--energy conversion/generation devices (fuel cells and photovoltaics), organic light-emitting diodes, and organic transistors. ","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","297","Electrical Engineering and Computer Sciences","Field Studies in Electrical Engineering","0","12","-","Supervised experience in off-campus companies relevant to specific aspects and applications of electrical engineering. Written report required at the end of the semester.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","298","Electrical Engineering and Computer Sciences","Group Studies, Seminars, or Group Research","1","4","-","Advanced study in various subjects through special seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","299","Electrical Engineering and Computer Sciences","Individual Research","1","12","-","Investigation of problems in electrical engineering.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","375","Electrical Engineering and Computer Sciences","Teaching Techniques for Electrical Engineering","2","2","-","Discussion of effective teaching techniques. Use of educational objectives, alternative forms of instruction, and proven techniques to enhance student learning. This course is intended to orient new student instructors to more effectively teach courses offered by the Department of Electrical Engineering and Computer Sciences at UC Berkeley.","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","602","Electrical Engineering and Computer Sciences","Individual Study for Doctoral Students","1","8","-","Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. (and other doctoral degrees).","-","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","C106A","Electrical Engineering and Computer Sciences","Introduction to Robotics","4","4","-","An introduction to the kinematics, dynamics, and control of robot manipulators, robotic vision, and sensing. The course covers forward and inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, and control. It presents elementary principles on proximity, tactile, and force sensing, vision sensors, camera calibration, stereo construction, and motion detection. The course concludes with current applications of robotics in active perception, medical robotics, and other areas. ","BIOENGC125 INTRO TO ROBOTICS","Course is not repeatable for credit.","-","-","-"
"ELENG","C106B","Electrical Engineering and Computer Sciences","Robotic Manipulation and Interaction","4","4","-","This course is a sequel to Electrical Engineering C106A/Bioengineering C125, which covers kinematics, dynamics and control of a single robot. This course  will cover dynamics and control of groups of robotic manipulators coordinating with each other and interacting with the environment.  Concepts will include an introduction to grasping and the constrained manipulation, contacts and force control for interaction with the environment. We will also cover active perception guided manipulation, as well as the manipulation of non-rigid objects. Throughout,  we will emphasize  design and  human-robot interactions, and applications to applications in manufacturing, service robotics,  tele-surgery, and locomotion.","BIOENGC125B ROBOTIC MANIPULATIO","Course is not repeatable for credit.","-","-","-"
"ELENG","C128","Electrical Engineering and Computer Sciences","Feedback Control Systems","4","4","-","Analysis and synthesis of linear feedback control systems in transform and time domains. Control system design by root locus, frequency response, and state space methods. Applications to electro-mechanical and mechatronics systems.","MECENGC134 FEEDBACK CNTRL SYS","Course is not repeatable for credit.","-","-","-"
"ELENG","C145B","Electrical Engineering and Computer Sciences","Medical Imaging Signals and Systems","4","4","-","Biomedical imaging is a clinically important application of engineering, applied mathematics, physics, and medicine. In this course, we apply linear systems theory and basic physics to analyze X-ray imaging, computerized tomography, nuclear medicine, and MRI. We cover the basic physics and instrumentation that characterizes medical image as an ideal perfect-resolution image blurred by an impulse response. This material could prepare the student for a career in designing new medical imaging systems that reliably detect small tumors or infarcts. ","BIOENGC165 MED IMG SIG & S","Course is not repeatable for credit.","-","-","-"
"ELENG","C145L","Electrical Engineering and Computer Sciences","Introductory Electronic Transducers Laboratory","3","3","-","Laboratory exercises exploring a variety of electronic transducers for measuring physical quantities such as temperature, force, displacement, sound, light, ionic potential; the use of circuits for low-level differential amplification and analog signal processing; and the use of microcomputers for digital sampling and display. Lectures cover principles explored in the laboratory exercises; construction, response and signal to noise of electronic transducers and actuators; and design of circuits for sensing and controlling physical quantities.","BIOENGC145L TRANSDUCER LAB","Course is not repeatable for credit.","-","-","-"
"ELENG","C145M","Electrical Engineering and Computer Sciences","Introductory Microcomputer Interfacing Laboratory","3","3","-","Laboratory exercises constructing basic interfacing circuits and writing 20-100 line C programs for data acquisition, storage, analysis, display, and control. Use of the IBM PC with microprogrammable digital counter/timer, parallel I/O port. Circuit components include anti-aliasing filters, the S/H amplifier, A/D and D/A converters. Exercises include effects of aliasing in periodic sampling, fast Fourier transforms of basic waveforms, the use of the Hanning filter for leakage reduction, Fourier analysis of the human voice, digital filters, and control using Fourier deconvolution. Lectures cover principles explored in the lab exercises and design of microcomputer-based systems for data acquisitions, analysis and control. ","BIOENGC145M INTR MICRO INTERF L","Course is not repeatable for credit.","-","-","-"
"ELENG","C145O","Electrical Engineering and Computer Sciences","Laboratory in the Mechanics of Organisms","3","3","-","Introduction to laboratory and field study of the biomechanics of animals and plants using fundamental biomechanical techniques and equipment. Course has a series of rotations involving students in experiments demonstrating how solid and fluid mechanics can be used to discover the way in which diverse organisms move and interact with their physical environment. The laboratories emphasize sampling methodology, experimental design, and statistical interpretation of results. Latter third of course devoted to independent research projects. Written reports and class presentation of project results are required. ","BIOENGC136L LAB IN MEC ORG, INTEGBIC135L LAB IN MEC ORG","Course is not repeatable for credit.","-","-","-"
"ELENG","C213","Electrical Engineering and Computer Sciences","X-rays and Extreme Ultraviolet Radiation","3","3","-","This course explores modern developments in the physics and applications of x-rays and extreme ultraviolet (EUV) radiation. It begins with a review of electromagnetic radiation at short wavelengths including dipole radiation, scattering and refractive index, using a semi-classical atomic model. Subject matter includes the generation of x-rays with synchrotron radiation, high harmonic generation, x-ray free electron lasers, laser-plasma sources. Spatial and temporal coherence concepts are explained. Optics appropriate for this spectral region are described. Applications include nanoscale and astrophysical imaging, femtosecond and attosecond probing of electron dynamics in molecules and solids, EUV lithography, and materials characteristics.","ASTC210 SOFT X-RAYS/EUV RAD","Course is not repeatable for credit.","-","-","-"
"ELENG","C220A","Electrical Engineering and Computer Sciences","Advanced Control Systems I","3","3","-","Input-output and state space representation of linear continuous and discrete time dynamic systems. Controllability, observability, and stability. Modeling and identification. Design and analysis of single and multi-variable feedback control systems in transform and time domain. State observer. Feedforward/preview control. Application to engineering systems.","MECENGC232 ADV CONTRL SYS I","Course may be repeated for credit without restriction.","-","-","-"
"ELENG","C220B","Electrical Engineering and Computer Sciences","Experiential Advanced Control Design I","3","3","-","Experience-based learning in the design of SISO and MIMO feedback controllers for linear systems. The student will master skills needed to apply linear control design and analysis tools to classical and modern control problems. In particular, the participant will be exposed to and develop expertise in two key control design technologies: frequency-domain control synthesis and time-domain optimization-based approach.","MECENGC231A EXP ADV CTRL DES I","Course is not repeatable for credit.","-","-","-"
"ELENG","C220C","Electrical Engineering and Computer Sciences","Experiential Advanced Control Design II","3","3","-","Experience-based learning in design, analysis, & verification of automatic control for uncertain systems. The course emphasizes use of practical algorithms, including thorough computer implementation for representative problems. The student will master skills needed to apply advanced model-based control analysis, design, and estimation to a variety of industrial applications. First-principles analysis is provided to explain and support the algorithms & methods. The course emphasizes model-based state estimation, including the Kalman filter, and particle filter. Optimal feedback control of uncertain systems is also discussed (the linear quadratic Gaussian problem) as well as considerations of transforming continuous-time to discrete time.","MECENGC231B EXPERIENTAL CNTR II","Course is not repeatable for credit.","-","-","-"
"ELENG","C220D","Electrical Engineering and Computer Sciences","Input/Output Methods for Compositional System Analysis","2","2","-","Introduction to input/output concepts from control theory, systems as operators in signal spaces, passivity andsmall-gain theorems, dissipativity theory, integral quadratic constraints. Compositional stabilility andperformance certification for interconnected systems from subsystems input/output properties. Case studies inmulti-agent systems, biological networks, Internet congestion control, and adaptive control.","MECENGC220D INPUT/OUTPUT METHOD","Course is not repeatable for credit.","-","-","-"
"ELENG","C222","Electrical Engineering and Computer Sciences","Nonlinear Systems","3","3","-","Basic graduate course in nonlinear systems. Nonlinear phenomena, planar systems, bifurcations, center manifolds, existence and uniqueness theorems. Lyapunov’s direct and indirect methods, Lyapunov-based feedback stabilization. Input-to-state and input-output stability, and dissipativity theory. Computation techniques for nonlinear system analysis and design. Feedback linearization and sliding mode control methods.","MECENGC237 NONLINEAR SYSTEMS","Course is not repeatable for credit.","-","-","-"
"ELENG","C225E","Electrical Engineering and Computer Sciences","Principles of Magnetic Resonance Imaging","4","4","-","Fundamentals of MRI including signal-to-noise ratio, resolution, and contrast as dictated by physics, pulse sequences, and instrumentation. Image reconstruction via 2D FFT methods. Fast imaging reconstruction via convolution-back projection and gridding methods and FFTs. Hardware for modern MRI scanners including main field, gradient fields, RF coils, and shim supplies. Software for MRI including imaging methods such as 2D FT, RARE, SSFP, spiral and echo planar imaging methods.","BIOENGC265 PRIN MAGNET IMG, NUCENGC235 PRIN MAGNET IMG","Course may be repeated for credit under special circumstances.","Students can only receive credit for 1 of the 2 versions of the class,BioEc265 or EE c225e, not both","-","-"
"ELENG","C227C","Electrical Engineering and Computer Sciences","Convex Optimization and Approximation","3","3","-","Convex optimization as a systematic approximation tool for hard decision problems. Approximations of combinatorial optimization problems, of stochastic programming problems, of robust optimization problems (i.e., with optimization problems with unknown but bounded data), of optimal control problems. Quality estimates of the resulting approximation. Applications in robust engineering design, statistics, control, finance, data mining, operations research.","INDENGC227B CONVEX OPT & AP","Course is not repeatable for credit.","-","-","-"
"ELENG","C227T","Electrical Engineering and Computer Sciences","Introduction to Convex Optimization","4","4","-","The course covers some convex optimization theory and algorithms, and describes various applications arising in engineering design, machine learning and statistics, finance, and operations research. The course includes laboratory assignments, which consist of hands-on experience.","INDENGC227A INTRO CONVEX OPTIM","Course is not repeatable for credit.","-","-","-"
"ELENG","C235","Electrical Engineering and Computer Sciences","Nanoscale Fabrication","4","4","-","This course discusses various top-down and bottom-up approaches to synthesizing and processing nanostructured materials. The topics include fundamentals of self assembly, nano-imprint lithography, electron beam lithography, nanowire and nanotube synthesis, quantum dot synthesis (strain patterned and colloidal), postsynthesis modification (oxidation, doping, diffusion, surface interactions, and etching techniques). In addition, techniques to bridging length scales such as heterogeneous integration will be discussed. We will discuss new electronic, optical, thermal, mechanical, and chemical properties brought forth by the very small sizes.","NSEC203 NANO FABRICATION","Course is not repeatable for credit.","-","-","-"
"ELENG","C239","Electrical Engineering and Computer Sciences","Partially Ionized Plasmas","3","3","-","Introduction to partially ionized, chemically reactive plasmas, including collisional processes, diffusion, sources, sheaths, boundaries, and diagnostics. DC, RF, and microwave discharges. Applications to plasma-assisted materials processing and to plasma wall interactions.","ASTC239 PART IONIZ PLASMAS","Course is not repeatable for credit.","-","Offered alternate years.","-"
"ELENG","C246","Electrical Engineering and Computer Sciences","Parametric and Optimal Design of MEMS","3","3","-","Parametric design and optimal design of MEMS. Emphasis on design, not fabrication. Analytic solution of MEMS design problems to determine the dimensions of MEMS structures for specified function. Trade-off of various performance requirements despite conflicting design requirements. Structures include flexure systems, accelerometers, and rate sensors.","MECENGC219 DESIGN OF MEMS","Course is not repeatable for credit.","-","-","-"
"ELENG","C247B","Electrical Engineering and Computer Sciences","Introduction to MEMS Design","4","4","-","Physics, fabrication, and design of micro-electromechanical systems (MEMS). Micro and nanofabrication processes, including silicon surface and bulk micromachining and non-silicon micromachining. Integration strategies and assembly processes. Microsensor and microactuator devices: electrostatic, piezoresistive, piezoelectric, thermal, magnetic transduction. Electronic position-sensing circuits and electrical and mechanical noise. CAD for MEMS. Design project is required.","MECENGC218 INTRO MEMS DESIGN","Course is not repeatable for credit.","-","-","-"
"ELENG","C249A","Electrical Engineering and Computer Sciences","Introduction to Embedded Systems","4","4","-","This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects.","COMPSCIC249A INTRO EMBEDDED","Course is not repeatable for credit.","-","-","-"
"ELENG","C261","Electrical Engineering and Computer Sciences","Medical Imaging Signals and Systems","4","4","-","Biomedical imaging is a clinically important application of engineering, applied mathematics, physics, and medicine. In this course, we apply linear systems theory and basic physics to analyze X-ray imaging, computerized tomography, nuclear medicine, and MRI. We cover the basic physics and instrumentation that characterizes medical image as an ideal perfect-resolution image blurred by an impulse response. This material could prepare the student for a career in designing new medical imaging systems that reliably detect small tumors or infarcts.","BIOENGC261 MED IMG SIG & S, NUCENGC231 MED IMG SIG & S","Course is not repeatable for credit.","-","-","-"
"ELENG","C291","Electrical Engineering and Computer Sciences","Control and Optimization of Distributed Parameters Systems","3","3","-","Distributed systems and PDE models of physical phenomena (propagation of waves, network traffic, water distribution, fluid mechanics, electromagnetism, blood vessels, beams, road pavement, structures, etc.). Fundamental solution methods for PDEs: separation of variables, self-similar solutions, characteristics, numerical methods, spectral methods. Stability analysis. Adjoint-based optimization. Lyapunov stabilization. Differential flatness. Viability control. Hamilton-Jacobi-based control. ","CIVENGC291F OPT CONTROL OF PDES, MECENGC236 OPT CONTROL OF PDES","Course is not repeatable for credit.","-","-","-"
"ELENG","C291E","Electrical Engineering and Computer Sciences","Hybrid Systems and Intelligent Control","3","3","-","Analysis of hybrid systems formed by the interaction of continuous time dynamics and discrete-event controllers. Discrete-event systems models and language descriptions. Finite-state machines and automata. Model verification and control of hybrid systems. Signal-to-symbol conversion and logic controllers. Adaptive, neural, and fuzzy-control systems. Applications to robotics and Intelligent Vehicle and Highway Systems (IVHS).","MECENGC290S HYBRID SYS & CONTRL","Course is not repeatable for credit.","-","-","-"
"ELENG","H196A","Electrical Engineering and Computer Sciences","Senior Honors Thesis Research","1","4","-","Thesis work under the supervision of a faculty member. A minimum of four units must be taken; the units may be distributed between one and two semesters in any way. To obtain credit a satisfactory thesis must be submitted at the end of the two semesters to the Electrical and Engineering and Computer Science Department archive. Students who complete four units and a thesis in one semester receive a letter grade at the end of H196A. Students who do not, receive an IP in H196A and must enroll in H196B.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","H196B","Electrical Engineering and Computer Sciences","Senior Honors Thesis Research","1","4","-","Thesis work under the supervision of a faculty member. A minimum of four units must be taken; the units may be distributed between one and two semesters in any way. To obtain credit a satisfactory thesis must be submitted at the end of the two semesters to the Electrical and Engineering and Computer Science Department archive. Students who complete four units and a thesis in one semester receive a letter grade at the end of H196A. Students who do not, receive an IP in H196A and must enroll in H196B.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W230A","Electrical Engineering and Computer Sciences","Integrated-Circuit Devices","4","4","-","Overview of electronic properties of semiconductors. Metal-semiconductor contacts, pn junctions, bipolar transistors, and MOS field-effect transistors. Properties that are significant to device operation for integrated circuits. Silicon device fabrication technology.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W230B","Electrical Engineering and Computer Sciences","Solid State Devices","4","4","-","Physical principles and operational characteristics of semiconductor devices. Emphasis is on MOS field-effect transistors and their behaviors dictated by present and probable future technologies. Metal-oxide-semiconductor systems, short-channel and high field effects, device modeling, and impact on analog, digital circuits.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W240A","Electrical Engineering and Computer Sciences","Analog Integrated Circuits","4","4","-","Single and multiple stage transistor amplifiers. Operational amplifiers. Feedback amplifiers, 2-port formulation, source, load, and feedback network loading. Frequency response of cascaded amplifiers, gain-bandwidth exchange, compensation, dominant pole techniques, root locus. Supply and temperature independent biasing and references. Selected applications of analog circuits such as analog-to-digital converters, switched capacitor filters, and comparators.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W240B","Electrical Engineering and Computer Sciences","Advanced Analog Integrated Circuits","3","3","-","Analysis and optimized design of monolithic operational amplifiers and wide-band amplifiers; methods of achieving wide-band amplification, gain-bandwidth considerations; analysis of noise in integrated circuits and low noise design. Precision passive elements, analog switches, amplifiers and comparators, voltage reference in NMOS and CMOS circuits, Serial, successive-approximation, and parallel analog-to-digital converts. Switched-capacitor and CCD filters. Applications to codecs, modems. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W240C","Electrical Engineering and Computer Sciences","Analysis and Design of VLSI Analog-Digital Interface Integrated Circuits","3","3","-","Architectural and circuit level design and analysis of integrated analog-to-digital and digital-to-analog interfaces in modern CMOS and BiCMOS VLSI technology. Analog-digital converters, digital-analog converters, sample/hold amplifiers, continuous and switched-capacitor filters. Low power mixed signal design techniques. Data communications systems including interface circuity. CAD tools for analog design for simulation and synthesis. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W241A","Electrical Engineering and Computer Sciences","Introduction to Digital Integrated Circuits","4","4","-","CMOS devices and deep sub-micron manufacturing technology. CMOS inverters and complex gates. Modeling of interconnect wires. Optimization of designs with respect to a number of metrics: cost, reliability, performance, and power dissipation. Sequential circuits, timing considerations, and clocking approaches. Design of large system blocks, including arithmetic, interconnect, memories, and programmable logic arrays. Introduction to design methodologies, including laboratory experience.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W241B","Electrical Engineering and Computer Sciences","Advanced Digital Integrated Circuits","3","3","-","Analysis and design of MOS and bipolar large-scale integrated circuits at the circuit level. Fabrication processes, device characteristics, parasitic effects static and dynamic digital circuits for logic and memory functions. Calculation of speed and power consumption from layout and fabrication parameters. ROM, RAM, EEPROM circuit design. Use of SPICE and other computer aids. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W242A","Electrical Engineering and Computer Sciences","Integrated Circuits for Communications","4","4","-","Analysis and design of electronic circuits for communication systems, with an emphasis on integrated circuits for wireless communication systems. Analysis of noise and distortion in amplifiers with application to radio receiver design. Power amplifier design with application to wireless radio transmitters. Radio-frequency mixers, oscillators, phase-locked loops, modulators, and demodulators.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W242B","Electrical Engineering and Computer Sciences","Advanced Integrated Circuits for Communications","3","3","-","Analysis, evaluation, and design of present-day integrated circuits for communications application, particularly those for which nonlinear response must be included. MOS, bipolar and BICMOS circuits, audio and video power amplifiers, optimum performance of near-sinusoidal oscillators and frequency-translation circuits. Phase-locked loop ICs, analog multipliers and voltage-controlled oscillators; advanced components for telecommunication circuits. Use of new CAD tools and systems. ","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W244","Electrical Engineering and Computer Sciences","Fundamental Algorithms for System Modeling, Analysis, and Optimization","4","4","-","The modeling, analysis, and optimization of complex systems require a range of algorithms and design tools. This course reviews the fundamental techniques underlying the design methodology for complex systems, using integrated circuit design as an example. Topics include design flows, discrete and continuous models and algorithms, and strategies for implementing algorithms efficiently and correctly in software.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W247B","Electrical Engineering and Computer Sciences","Introduction to MEMS Design","4","4","-","Physics, fabrication and design of micro electromechanical systems (MEMS). Micro and nano-fabrication processes, including silicon surface and bulk micromachining and non-silicon micromachining. Integration strategies and assembly processes. Microsensor and microactuator devices: electrostatic, piezoresistive, piezoelectric, thermal, and magnetic transduction. Electronic position-sensing circuits and electrical and mechanical noise. CAD for MEMS. Design project is required.","-","Course is not repeatable for credit.","-","-","-"
"ELENG","W290C","Electrical Engineering and Computer Sciences","Advanced Topics in Circuit Design","3","3","-","Seminar-style course presenting an in-depth perspective on one specific domain of integrated circuit design. Most often, this will address an application space that has become particularly relevant in recent times. Examples are serial links, ultra low-power design, wireless transceiver design, etc.","-","Course may be repeated for credit without restriction.","-","-","-"
